province,hierarchical_k3,hierarchical_k5,kmeans_k3,kmeans_k5,mean_hdd,min_hdd,max_hdd
Adana,1,1,1,1,5.22,0.0,15.3
Adiyaman,2,2,1,1,11.313,0.0,20.7
Afyonkarahisar,1,3,3,4,14.088,0.0,24.7
Agri,2,4,1,3,22.27,11.2,38.9
Amasya,1,3,3,4,13.242,0.0,23.4
Ankara,1,3,3,4,12.991,0.0,24.3
Antalya,1,1,2,5,4.975,0.0,14.1
Artvin,2,4,1,3,17.372,6.8,27.0
Aydin,3,5,2,5,7.468,0.0,17.5
Balikesir,3,5,2,2,10.799,0.0,20.1
Bilecik,3,5,2,2,11.175,0.0,21.2
Bingol,2,4,1,3,22.31,11.5,38.4
Bitlis,2,4,1,3,19.896,9.2,37.1
Bolu,3,5,2,2,16.405,3.2,30.7
Burdur,3,5,2,5,13.207,0.0,24.2
Bursa,3,5,2,2,11.87,0.0,21.7
Canakkale,3,5,2,2,10.402,0.0,20.0
Cankiri,1,3,3,4,15.198,0.0,26.8
Corum,1,3,3,4,16.356,0.0,29.7
Denizli,3,5,2,5,8.326,0.0,18.8
Diyarbakir,2,2,1,1,11.517,0.0,20.1
Edirne,3,5,2,2,11.005,0.0,20.6
Elazig,2,2,1,1,12.476,0.0,22.9
Erzincan,2,4,1,3,16.638,6.0,31.4
Erzurum,2,4,1,3,22.307,10.3,36.9
Eskisehir,3,5,3,4,13.087,0.0,23.4
Gaziantep,2,2,1,1,10.59,0.0,21.6
Giresun,1,3,3,4,18.966,5.6,33.3
Gumushane,2,4,1,3,23.127,13.0,35.4
Hakkari,2,4,1,3,26.189,15.7,40.5
Hatay,1,1,1,1,13.606,0.0,25.3
Isparta,3,5,2,5,13.487,0.0,24.1
Mersin,1,1,1,1,5.211,0.0,16.5
Istanbul,3,5,2,2,8.917,0.0,20.3
Izmir,3,5,2,5,8.29,0.0,18.0
Kars,2,4,1,3,20.136,9.4,35.0
Kastamonu,1,3,3,4,14.96,0.0,27.2
Kayseri,1,3,3,4,14.108,0.0,28.6
Kirklareli,3,5,2,2,11.997,0.0,23.8
Kirsehir,1,3,3,4,15.047,0.0,26.1
Kocaeli,3,5,2,2,10.24,0.0,23.0
Konya,1,3,3,4,13.201,0.0,24.0
Kutahya,3,5,2,5,14.67,3.8,26.1
Malatya,2,2,1,1,13.699,0.0,25.8
Manisa,3,5,2,5,9.95,0.0,19.6
Kahramanmaras,1,1,1,1,12.962,0.0,23.9
Mardin,2,2,1,1,12.662,0.0,23.6
Mugla,3,5,2,5,9.977,0.0,20.2
Mus,2,4,1,3,19.618,7.7,35.3
Nevsehir,1,3,3,4,14.723,0.0,28.3
Nigde,1,3,3,4,15.925,3.6,31.6
Ordu,1,3,3,4,12.447,0.0,26.4
Rize,1,3,3,4,15.587,3.6,27.6
Sakarya,3,5,2,2,9.646,0.0,24.3
Samsun,1,3,3,4,14.164,0.0,26.5
Siirt,2,2,1,3,11.391,0.0,22.7
Sinop,1,3,3,4,16.732,0.0,28.6
Sivas,1,3,3,4,19.495,5.8,35.8
Tekirdag,3,5,2,2,10.734,0.0,21.2
Tokat,1,3,3,4,16.402,0.0,30.2
Trabzon,1,3,3,4,8.852,0.0,20.6
Tunceli,2,4,1,3,18.974,8.4,35.8
Sanliurfa,2,2,1,1,8.997,0.0,19.4
Usak,3,5,2,5,12.387,0.0,22.9
Van,2,4,1,3,20.939,11.0,35.3
Yozgat,1,3,3,4,15.398,0.0,26.1
Zonguldak,3,5,2,2,13.307,0.0,25.3
Aksaray,1,3,3,4,13.646,0.0,25.0
Bayburt,2,4,1,3,21.77,9.5,35.0
Karaman,1,3,3,4,13.256,0.0,24.8
Kirikkale,1,3,3,4,13.726,0.0,24.8
Batman,2,2,1,3,13.038,0.0,22.5
Sirnak,2,4,1,3,13.775,3.6,29.8
Yalova,3,5,2,2,12.256,0.0,24.3
Karabuk,1,3,3,4,15.602,3.1,26.4
Kilis,2,2,1,1,10.518,0.0,21.6
Osmaniye,1,1,1,1,7.534,0.0,18.3
Duzce,3,5,2,2,10.785,0.0,24.7
Bartin,3,5,2,2,13.287,0.0,26.4
Ardahan,2,4,1,3,24.368,12.3,37.2
Igdir,2,2,1,3,14.562,0.0,22.8
